,Date,Kangwon_sales,Kangwon_sales_prices,Kyonggi_sales,Kyonggi_sales_prices,Kyongsang_sales,Kyongsang_sales_prices,Seoul_sales,Seoul_sales_prices,Jeonla_sales,Jeonla_sales_prices,Chungcheong_sales,Chuncheong_sales_prices
137,5/18/2015,30,"1,895,300",122,"7,381,700",40,"2,561,700",19,"1,310,000",19,"1,744,700",39,"3,032,700"
138,5/19/2015,21,"1,985,800",104,"10,503,500",98,"6,254,800",29,"2,111,000",28,"2,148,800",54,"3,227,600"
139,5/20/2015,33,"2,429,500",129,"9,869,300",88,"5,989,600",26,"2,134,800",23,"1,716,300",55,"3,710,100"
140,5/21/2015,18,"1,500,000",196,"10,934,500",71,"4,723,700",37,"2,190,700",38,"2,977,300",30,"2,113,300"
141,5/22/2015,31,"2,826,400",161,"12,248,000",43,"2,782,800",29,"2,674,000",34,"2,974,300",21,"1,389,200"
142,5/23/2015,28,"2,402,400",128,"6,726,000",45,"2,836,100",55,"4,604,600",25,"2,032,400",74,"5,317,300"
143,5/24/2015,1,"99,000",109,"9,938,900",46,"2,755,800",26,"1,766,200",18,"1,575,700",39,"3,204,300"
144,5/25/2015,36,"2,560,400",146,"9,376,800",38,"2,360,000",39,"2,343,400",10,"1,137,300",48,"3,096,800"
145,5/26/2015,26,"1,981,400",126,"7,476,100",47,"3,219,100",19,"1,400,800",32,"2,291,400",26,"1,811,800"
146,5/27/2015,51,"4,262,500",97,"6,594,500",37,"2,695,300",83,"3,788,900",40,"2,317,600",26,"1,315,400"
147,5/28/2015,40,"3,592,500",190,"10,348,900",65,"4,448,600",57,"2,589,900",42,"2,996,000",30,"2,081,700"
148,5/29/2015,54,"3,742,800",113,"8,072,200",40,"2,717,200",156,"8,294,650",38,"2,820,400",41,"2,783,400"
149,5/30/2015,40,"3,071,300",133,"7,476,500",41,"3,007,100",49,"3,631,500",34,"1,841,600",76,"4,433,600"
150,5/31/2015,4,"327,200",82,"5,371,700",51,"3,959,800",26,"2,137,800",43,"2,705,700",33,"2,662,900"
151,6/1/2015,22,"1,504,300",84,"5,078,900",36,"2,129,100",22,"996,500",19,"1,410,900",64,"3,801,500"
152,6/2/2015,32,"2,421,600",86,"7,087,900",35,"2,098,200",35,"1,290,100",33,"2,255,100",42,"2,278,300"
153,6/3/2015,25,"1,888,300",80,"4,809,100",99,"5,763,000",69,"4,275,800",17,"683,400",51,"3,239,700"
154,6/4/2015,36,"2,987,600",100,"5,729,800",53,"3,649,900",38,"2,046,100",16,"1,125,400",24,"1,478,300"
155,6/5/2015,49,"3,193,600",87,"4,695,400",57,"3,662,000",88,"5,393,600",18,"1,135,300",29,"1,759,400"
156,6/6/2015,30,"2,172,700",76,"4,616,200",46,"2,653,400",36,"2,127,800",20,"1,190,000",49,"2,407,100"
157,6/7/2015,6,"414,600",100,"5,332,800",32,"2,131,300",34,"1,830,200",11,"700,100",32,"1,807,000"
158,6/8/2015,21,"1,710,000",103,"6,162,300",36,"2,733,600",32,"1,875,700",21,"1,860,600",44,"2,326,300"
159,6/9/2015,43,"3,098,900",151,"8,031,100",26,"1,476,200",18,"1,003,700",43,"2,387,600",37,"2,565,200"
160,6/10/2015,27,"1,845,700",84,"3,923,700",45,"2,860,200",88,"4,067,600",29,"1,340,000",36,"1,835,800"
161,6/11/2015,25,"2,144,300",150,"10,089,500",99,"6,513,800",71,"2,789,100",44,"2,804,200",26,"1,640,300"
162,6/12/2015,31,"2,462,000",126,"7,074,600",77,"4,161,200",59,"1,746,500",36,"1,736,100",22,"1,076,000"
163,6/13/2015,30,"2,131,600",167,"9,582,000",69,"4,463,000",37,"1,570,400",27,"1,637,000",49,"2,883,500"
164,6/14/2015,2,"68,000",88,"5,143,200",31,"1,771,100",25,"1,142,800",12,"476,200",51,"2,609,900"
165,6/15/2015,48,"3,623,900",91,"4,508,700",33,"2,214,200",16,"1,045,800",51,"2,757,700",16,"795,900"
166,6/16/2015,42,"3,043,800",89,"4,628,300",65,"3,745,300",57,"3,273,500",24,"1,693,100",45,"3,006,100"
167,6/17/2015,17,"1,360,700",109,"6,115,000",48,"2,820,900",23,"1,172,400",19,"1,147,600",71,"4,260,400"
168,6/18/2015,6,"414,200",103,"5,846,800",26,"1,607,900",29,"1,480,400",29,"1,692,300",43,"2,498,700"
169,6/19/2015,18,"955,600",86,"6,352,300",22,"1,666,600",18,"922,700",25,"1,418,400",40,"2,527,200"
170,6/20/2015,58,"4,333,200",72,"4,116,100",23,"1,752,600",164,"7,827,500",17,"1,149,600",51,"3,221,500"
171,6/21/2015,0,0,115,"8,399,500",18,"1,167,700",25,"1,619,000",20,"1,041,600",53,"2,912,500"
172,6/22/2015,27,"1,946,800",87,"5,224,600",24,"1,611,600",37,"2,038,400",11,"1,142,600",33,"1,978,500"
173,6/23/2015,33,"2,716,200",110,"6,471,700",23,"1,165,900",30,"1,812,200",27,"1,379,900",28,"1,797,000"
174,6/24/2015,26,"1,686,100",66,"3,540,800",21,"1,205,800",58,"2,308,200",15,"877,200",52,"3,076,800"
175,6/25/2015,27,"1,846,700",220,"11,211,200",46,"2,739,300",48,"1,752,800",31,"2,229,200",43,"2,684,400"
176,6/26/2015,9,"722,900",99,"10,553,200",41,"2,537,900",53,"2,705,000",32,"2,318,100",43,"2,553,800"
177,6/27/2015,14,"1,076,000",134,"7,209,800",49,"3,927,000",35,"1,935,800",27,"1,549,000",45,"2,524,200"
178,6/28/2015,8,"468,700",56,"3,369,400",52,"2,793,700",12,"676,900",4,"468,000",48,"2,588,100"
179,6/29/2015,20,"1,100,100",65,"5,032,100",32,"2,303,100",31,"1,960,600",29,"1,342,000",30,"1,752,500"
180,6/30/2015,35,"2,776,300",83,"6,163,000",57,"4,050,400",43,"3,115,500",41,"2,134,800",66,"3,643,300"
181,7/1/2015,25,"1,658,100",66,"2,976,500",33,"1,546,300",13,"389,400",31,"1,055,300",28,"1,305,400"
182,7/2/2015,52,"3,718,300",223,"11,849,500",45,"2,795,700",53,"2,894,500",62,"3,434,400",42,"2,543,100"
183,7/3/2015,26,"1,780,500",208,"12,418,600",68,"4,246,100",125,"5,749,410",77,"3,950,900",33,"1,931,900"
184,7/4/2015,39,"2,702,000",203,"10,015,600",64,"4,122,600",139,"4,698,200",45,"2,254,400",40,"2,065,600"
185,7/5/2015,10,"725,500",105,"5,335,700",70,"3,341,000",41,"2,225,000",46,"2,301,400",26,"1,216,300"
186,7/6/2015,33,"2,191,200",144,"7,398,800",51,"2,513,500",57,"1,980,400",32,"1,392,400",17,"845,600"
187,7/7/2015,31,"2,178,400",129,"6,486,300",37,"2,035,900",53,"1,946,900",26,"1,600,000",73,"4,215,800"
188,7/8/2015,25,"1,477,000",122,"6,580,900",55,"2,571,700",46,"2,700,800",25,"1,433,200",19,"1,035,000"
189,7/9/2015,20,"1,058,000",135,"10,685,100",70,"4,273,300",45,"2,144,700",20,"1,011,000",30,"1,594,200"
190,7/10/2015,19,"1,071,800",101,"5,245,100",56,"4,176,300",87,"4,294,050",43,"2,286,200",28,"1,494,000"
191,7/11/2015,18,"1,288,600",122,"6,105,800",37,"2,404,100",39,"2,153,200",24,"1,315,200",26,"1,398,000"
192,7/12/2015,2,"178,300",61,"3,583,900",26,"1,508,000",40,"2,017,200",20,"846,400",28,"1,490,400"
193,7/13/2015,23,"1,436,400",71,"4,269,700",32,"2,185,700",26,"1,199,300",14,"824,800",17,"1,133,300"
194,7/14/2015,12,"689,000",120,"6,074,400",37,"2,084,400",19,"1,344,200",26,"1,564,500",35,"1,691,000"
195,7/15/2015,13,"692,700",183,"8,830,500",43,"2,452,400",165,"6,603,100",27,"1,638,800",30,"1,824,600"
196,7/16/2015,39,"2,108,000",192,"8,906,300",36,"2,358,600",162,"6,467,700",26,"1,477,600",18,"1,057,000"
197,7/17/2015,20,"1,297,100",143,"6,416,400",51,"3,288,400",102,"4,339,400",34,"1,926,400",25,"1,501,600"
198,7/18/2015,47,"2,863,900",153,"8,626,100",43,"2,670,400",33,"1,706,000",26,"1,441,000",21,"1,168,000"
199,7/19/2015,19,"1,174,300",83,"5,250,600",53,"2,991,400",30,"2,005,400",25,"1,338,500",18,"918,500"
200,7/20/2015,20,"1,339,700",72,"3,866,500",38,"2,049,000",24,"1,376,200",19,"1,032,700",22,"1,318,100"
201,7/21/2015,38,"2,561,000",80,"4,441,000",40,"2,746,500",26,"1,576,800",32,"1,577,000",39,"2,051,800"
202,7/22/2015,29,"1,741,200",113,"6,844,700",27,"1,504,800",32,"1,700,800",39,"2,216,800",21,"1,081,400"
203,7/23/2015,17,"1,080,900",120,"4,939,500",33,"2,309,800",18,"925,500",25,"1,417,800",34,"5,719,400"
204,7/24/2015,23,"1,648,200",142,"8,064,700",43,"2,393,300",17,"948,000",25,"1,267,200",41,"5,873,200"
205,7/25/2015,27,"1,772,600",122,"6,013,200",52,"4,632,700",38,"1,655,800",19,"1,131,400",41,"6,926,900"
206,7/26/2015,3,"296,800",56,"3,568,800",25,"1,350,500",46,"2,703,600",26,"1,297,300",28,"1,477,500"
207,7/27/2015,17,"1,031,000",135,"7,398,500",41,"2,204,800",31,"1,424,300",7,"505,500",29,"8,095,300"
208,7/28/2015,30,"1,858,800",129,"6,759,300",57,"2,744,400",50,"2,460,200",50,"2,310,200",54,"10,372,930"
209,7/29/2015,14,"903,600",132,"8,849,300",25,"1,211,500",74,"2,103,600",30,"1,507,300",26,"6,295,100"
210,7/30/2015,13,"828,500",103,"4,752,200",40,"2,149,800",125,"4,890,500",28,"1,517,900",23,"1,591,300"
211,7/31/2015,13,"874,800",128,"6,563,800",53,"3,365,300",66,"2,939,400",32,"1,761,700",23,"1,355,500"
212,8/1/2015,8,"607,400",125,"6,465,700",56,"2,313,700",30,"1,287,600",15,"736,000",28,"1,354,400"
213,8/2/2015,4,"254,500",95,"4,078,800",63,"2,437,300",20,"943,700",20,"921,200",14,"824,400"
214,8/3/2015,16,"1,210,500",88,"4,125,900",70,"2,928,600",24,"1,172,200",5,"303,500",33,"1,889,600"
215,8/4/2015,20,"1,030,300",124,"5,419,800",99,"3,780,100",29,"1,398,100",34,"1,509,900",18,"853,300"
